ID_Chamado,Data_Abertura,Equipamento,Tipo_Falha,Prioridade,Tecnico_Responsavel,Status,Data_Conclusao,Tempo_Resolucao_Horas,Custo_Estimado_R$,Peca_Trocada,Linha_Onibus,Mes_Abertura
CH00036,2023-06-09 00:00:00,Validador VA-3000,Desgaste Mecânico,Baixa,João Silva,Pendente,,,169,Não,Linha 500,2023-06
CH00037,2024-06-01 00:00:00,Validador VA-3000,Sensor Danificado,Alta,Maria Santos,Concluída,2024-06-01 06:10:00,6.17,614,Sim,Linha 100,2024-06
CH00038,2023-12-08 00:00:00,Display Digital DD-50,Falha Elétrica,Alta,João Silva,Concluída,2023-12-08 03:06:00,3.1,617,Não,Linha 400,2023-12
CH00039,2023-04-25 00:00:00,Computador Bordo CB-100,Sensor Danificado,Crítica,Mário Inácio,Concluída,2023-04-25 00:49:00,0.82,1188,Sim,Linha 100,2023-04
CH00040,2023-02-12 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Média,Ana Costa,Concluída,2023-02-12 14:31:00,14.52,343,Sim,Linha 300,2023-02
CH00041,2024-02-21 00:00:00,Validador VA-3000,Sensor Danificado,Média,João Silva,Concluída,2024-02-21 09:16:00,9.27,310,Não,Linha 200,2024-02
CH00042,2023-09-12 00:00:00,Catraca CT-700,Falha de Leitura,Média,Pedro Oliveira,Concluída,2023-09-12 13:06:00,13.1,290,Sim,Linha 400,2023-09
CH00043,2024-04-16 00:00:00,Antena GPS AG-20,Falha de Leitura,Crítica,Maria Santos,Concluída,2024-04-16 01:59:00,1.98,1228,Não,Linha 200,2024-04
CH00044,2023-10-13 00:00:00,Validador VA-2000,Sensor Danificado,Média,Ana Costa,Concluída,2023-10-13 06:22:00,6.37,321,Não,Linha 500,2023-10
CH00045,2023-09-25 00:00:00,Catraca CT-700,Sensor Danificado,Alta,João Silva,Concluída,2023-09-25 03:31:00,3.52,698,Não,Linha 100,2023-09
CH00046,2024-03-22 00:00:00,Validador VA-2000,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2024-03-22 02:40:00,2.67,1179,Sim,Linha 500,2024-03
CH00047,2024-06-16 00:00:00,Validador VA-3000,Desgaste Mecânico,Baixa,Ana Costa,Concluída,2024-06-17 20:45:00,44.75,150,Não,Linha 400,2024-06
CH00048,2023-05-08 00:00:00,Validador VA-2000,Sensor Danificado,Alta,Mário Inácio,Concluída,2023-05-08 04:33:00,4.55,679,Não,Linha 400,2023-05
CH00049,2023-07-16 00:00:00,Catraca CT-500,Falha Elétrica,Alta,Mário Inácio,Concluída,2023-07-16 05:35:00,5.58,647,Não,Linha 500,2023-07
CH00050,2023-11-08 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2023-11-08 01:43:00,1.72,1203,Sim,Linha 500,2023-11
CH00051,2024-03-28 00:00:00,Computador Bordo CB-100,Sensor Danificado,Alta,Ana Costa,Concluída,2024-03-28 07:45:00,7.75,604,Sim,Linha 400,2024-03
CH00052,2024-06-11 00:00:00,Antena GPS AG-20,Conectividade,Média,João Silva,Concluída,2024-06-11 15:26:00,15.43,273,Não,Linha 300,2024-06
CH00053,2023-02-17 00:00:00,Validador VA-3000,Conectividade,Média,Maria Santos,Concluída,2023-02-17 12:21:00,12.35,371,Sim,Linha 100,2023-02
CH00054,2024-02-14 00:00:00,Catraca CT-700,Falha Elétrica,Média,Ana Costa,Concluída,2024-02-14 12:19:00,12.32,287,Sim,Linha 100,2024-02
CH00055,2024-04-20 00:00:00,Antena GPS AG-20,Falha Elétrica,Média,Maria Santos,Pendente,,,262,Sim,Linha 200,2024-04
CH00056,2024-06-27 00:00:00,Antena GPS AG-20,Falha de Leitura,Crítica,Maria Santos,Concluída,2024-06-27 02:53:00,2.88,1231,Sim,Linha 500,2024-06
CH00057,2023-06-12 00:00:00,Antena GPS AG-20,Sensor Danificado,Crítica,Mário Inácio,Concluída,2023-06-12 02:31:00,2.52,1265,Não,Linha 200,2023-06
CH00058,2023-09-02 00:00:00,Antena GPS AG-20,Sensor Danificado,Alta,Mário Inácio,Concluída,2023-09-02 04:20:00,4.33,662,Sim,Linha 300,2023-09
CH00059,2023-03-24 00:00:00,Validador VA-3000,Desgaste Mecânico,Alta,Pedro Oliveira,Pendente,,,585,Não,Linha 200,2023-03
CH00060,2024-02-29 00:00:00,Catraca CT-700,Sensor Danificado,Média,Maria Santos,Concluída,2024-02-29 17:54:00,17.9,334,Sim,Linha 400,2024-02
CH00061,2023-01-21 00:00:00,Catraca CT-700,Falha de Leitura,Média,Ana Costa,Concluída,2023-01-21 23:39:00,23.65,347,Sim,Linha 100,2023-01
CH00062,2023-08-14 00:00:00,Catraca CT-500,Desgaste Mecânico,Crítica,Ana Costa,Pendente,,,1274,Não,Linha 300,2023-08
CH00063,2024-02-19 00:00:00,Catraca CT-700,Falha Elétrica,Baixa,Ana Costa,Concluída,2024-02-19 19:16:00,19.27,219,Não,Linha 500,2024-02
CH00064,2023-01-28 00:00:00,Computador Bordo CB-100,Falha de Leitura,Crítica,Mário Inácio,Pendente,,,1171,Sim,Linha 200,2023-01
CH00065,2024-01-24 00:00:00,Antena GPS AG-20,Falha Elétrica,Média,João Silva,Concluída,2024-01-24 15:10:00,15.17,304,Sim,Linha 300,2024-01
CH00066,2023-09-16 00:00:00,Catraca CT-500,Conectividade,Crítica,Pedro Oliveira,Concluída,2023-09-16 00:50:00,0.83,1270,Sim,Linha 500,2023-09
CH00067,2023-02-01 00:00:00,Validador VA-2000,Desgaste Mecânico,Média,João Silva,Concluída,2023-02-01 12:26:00,12.43,301,Sim,Linha 500,2023-02
CH00068,2023-08-12 00:00:00,Validador VA-3000,Erro de Comunicação,Média,Ana Costa,Concluída,2023-08-12 19:52:00,19.87,315,Não,Linha 200,2023-08
CH00069,2023-04-21 00:00:00,Computador Bordo CB-100,Defeito de Software,Baixa,Maria Santos,Concluída,2023-04-22 23:30:00,47.5,106,Não,Linha 500,2023-04
CH00070,2023-09-06 00:00:00,Display Digital DD-50,Falha Elétrica,Crítica,Maria Santos,Concluída,2023-09-06 00:56:00,0.93,1227,Sim,Linha 100,2023-09
CH00071,2024-03-14 00:00:00,Antena GPS AG-20,Defeito de Software,Baixa,Pedro Oliveira,Pendente,,,194,Sim,Linha 500,2024-03
CH00072,2023-04-19 00:00:00,Display Digital DD-50,Desgaste Mecânico,Baixa,Ana Costa,Concluída,2023-04-20 13:35:00,37.58,192,Sim,Linha 200,2023-04
CH00073,2024-05-10 00:00:00,Catraca CT-700,Erro de Comunicação,Alta,Mário Inácio,Pendente,,,669,Sim,Linha 500,2024-05
CH00074,2024-04-06 00:00:00,Catraca CT-500,Desgaste Mecânico,Média,João Silva,Concluída,2024-04-06 12:19:00,12.32,368,Sim,Linha 500,2024-04
CH00075,2023-11-29 00:00:00,Display Digital DD-50,Falha Elétrica,Alta,João Silva,Concluída,2023-11-29 03:33:00,3.55,674,Não,Linha 300,2023-11
CH00076,2023-10-10 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Alta,Pedro Oliveira,Pendente,,,692,Sim,Linha 500,2023-10
CH00077,2023-09-04 00:00:00,Validador VA-3000,Falha de Leitura,Média,Ana Costa,Concluída,2023-09-04 20:15:00,20.25,375,Sim,Linha 100,2023-09
CH00078,2023-11-10 00:00:00,Validador VA-2000,Desgaste Mecânico,Média,Ana Costa,Concluída,2023-11-10 23:51:00,23.85,344,Sim,Linha 500,2023-11
CH00079,2023-12-27 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Crítica,Mário Inácio,Concluída,2023-12-27 02:26:00,2.43,1219,Não,Linha 300,2023-12
CH00080,2023-07-09 00:00:00,Validador VA-3000,Falha de Leitura,Média,Pedro Oliveira,Concluída,2023-07-09 10:32:00,10.53,305,Sim,Linha 300,2023-07
CH00081,2023-10-31 00:00:00,Display Digital DD-50,Defeito de Software,Alta,João Silva,Concluída,2023-10-31 03:56:00,3.93,642,Não,Linha 300,2023-10
CH00082,2023-02-25 00:00:00,Validador VA-2000,Sensor Danificado,Média,Pedro Oliveira,Concluída,2023-02-25 22:53:00,22.88,324,Não,Linha 400,2023-02
CH00083,2024-04-25 00:00:00,Validador VA-2000,Conectividade,Baixa,Mário Inácio,Concluída,2024-04-26 16:40:00,40.67,212,Não,Linha 200,2024-04
CH00084,2024-02-15 00:00:00,Validador VA-2000,Desgaste Mecânico,Crítica,João Silva,Concluída,2024-02-15 02:35:00,2.58,1168,Sim,Linha 100,2024-02
CH00085,2023-05-02 00:00:00,Validador VA-3000,Erro de Comunicação,Alta,João Silva,Concluída,2023-05-02 06:45:00,6.75,656,Sim,Linha 500,2023-05
CH00086,2024-04-06 00:00:00,Antena GPS AG-20,Defeito de Software,Média,Mário Inácio,Concluída,2024-04-06 19:06:00,19.1,326,Sim,Linha 400,2024-04
CH00087,2023-08-01 00:00:00,Catraca CT-500,Defeito de Software,Baixa,Mário Inácio,Concluída,2023-08-01 22:24:00,22.4,167,Sim,Linha 200,2023-08
CH00088,2024-02-23 00:00:00,Validador VA-3000,Erro de Comunicação,Baixa,Maria Santos,Concluída,2024-02-24 14:45:00,38.75,220,Não,Linha 100,2024-02
CH00089,2023-08-28 00:00:00,Validador VA-3000,Desgaste Mecânico,Alta,Ana Costa,Concluída,2023-08-28 04:15:00,4.25,700,Não,Linha 400,2023-08
CH00090,2023-05-26 00:00:00,Validador VA-2000,Defeito de Software,Média,Maria Santos,Concluída,2023-05-26 06:26:00,6.43,265,Não,Linha 300,2023-05
CH00091,2024-04-24 00:00:00,Computador Bordo CB-100,Sensor Danificado,Alta,Ana Costa,Concluída,2024-04-24 07:52:00,7.87,627,Sim,Linha 300,2024-04
CH00092,2023-02-10 00:00:00,Computador Bordo CB-100,Defeito de Software,Crítica,Ana Costa,Concluída,2023-02-10 02:20:00,2.33,1232,Sim,Linha 300,2023-02
CH00093,2023-01-22 00:00:00,Validador VA-2000,Falha de Leitura,Média,Mário Inácio,Pendente,,,318,Sim,Linha 100,2023-01
CH00094,2024-03-28 00:00:00,Antena GPS AG-20,Conectividade,Média,Ana Costa,Pendente,,,321,Não,Linha 500,2024-03
CH00095,2023-12-23 00:00:00,Catraca CT-700,Sensor Danificado,Crítica,João Silva,Concluída,2023-12-23 02:14:00,2.23,1235,Não,Linha 100,2023-12
CH00096,2023-10-23 00:00:00,Antena GPS AG-20,Erro de Comunicação,Alta,Ana Costa,Concluída,2023-10-23 07:39:00,7.65,652,Sim,Linha 100,2023-10
CH00097,2023-04-29 00:00:00,Catraca CT-700,Falha de Leitura,Alta,Pedro Oliveira,Concluída,2023-04-29 05:26:00,5.43,681,Sim,Linha 500,2023-04
CH00098,2024-01-06 00:00:00,Catraca CT-700,Falha Elétrica,Baixa,Maria Santos,Pendente,,,227,Sim,Linha 100,2024-01
CH00099,2024-05-11 00:00:00,Validador VA-3000,Desgaste Mecânico,Média,Pedro Oliveira,Concluída,2024-05-11 08:08:00,8.13,257,Sim,Linha 200,2024-05
CH00100,2024-02-22 00:00:00,Display Digital DD-50,Erro de Comunicação,Alta,Mário Inácio,Concluída,2024-02-22 02:47:00,2.78,607,Sim,Linha 400,2024-02
CH00101,2024-06-05 00:00:00,Validador VA-2000,Sensor Danificado,Média,Ana Costa,Concluída,2024-06-05 13:19:00,13.32,356,Sim,Linha 400,2024-06
CH00102,2024-06-04 00:00:00,Validador VA-3000,Falha Elétrica,Média,Ana Costa,Concluída,2024-06-04 08:39:00,8.65,267,Não,Linha 400,2024-06
CH00103,2023-11-02 00:00:00,Catraca CT-500,Conectividade,Alta,João Silva,Concluída,2023-11-02 07:00:00,7.0,698,Sim,Linha 200,2023-11
CH00104,2024-01-22 00:00:00,Catraca CT-700,Defeito de Software,Crítica,Pedro Oliveira,Concluída,2024-01-22 02:26:00,2.43,1232,Não,Linha 200,2024-01
CH00105,2023-11-22 00:00:00,Computador Bordo CB-100,Falha Elétrica,Média,Ana Costa,Concluída,2023-11-22 20:08:00,20.13,347,Sim,Linha 200,2023-11
CH00106,2023-12-06 00:00:00,Catraca CT-700,Falha de Leitura,Média,Mário Inácio,Pendente,,,275,Sim,Linha 100,2023-12
CH00107,2023-06-08 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,Maria Santos,Concluída,2023-06-08 13:06:00,13.1,220,Não,Linha 300,2023-06
CH00108,2024-06-30 00:00:00,Computador Bordo CB-100,Sensor Danificado,Crítica,João Silva,Concluída,2024-06-30 02:07:00,2.12,1231,Sim,Linha 500,2024-06
CH00109,2023-08-21 00:00:00,Validador VA-2000,Defeito de Software,Baixa,Maria Santos,Concluída,2023-08-21 14:10:00,14.17,211,Sim,Linha 100,2023-08
CH00110,2023-11-29 00:00:00,Catraca CT-700,Erro de Comunicação,Alta,João Silva,Concluída,2023-11-29 02:28:00,2.47,625,Não,Linha 300,2023-11
CH00111,2023-07-04 00:00:00,Catraca CT-700,Erro de Comunicação,Média,Mário Inácio,Concluída,2023-07-04 09:48:00,9.8,294,Sim,Linha 500,2023-07
CH00112,2023-05-27 00:00:00,Antena GPS AG-20,Falha Elétrica,Média,Ana Costa,Pendente,,,309,Sim,Linha 300,2023-05
CH00113,2023-06-11 00:00:00,Catraca CT-700,Desgaste Mecânico,Baixa,Ana Costa,Concluída,2023-06-11 13:02:00,13.03,213,Não,Linha 500,2023-06
CH00114,2023-11-06 00:00:00,Catraca CT-500,Sensor Danificado,Crítica,Pedro Oliveira,Concluída,2023-11-06 01:20:00,1.33,1248,Sim,Linha 100,2023-11
CH00115,2023-10-30 00:00:00,Validador VA-3000,Falha Elétrica,Alta,Mário Inácio,Concluída,2023-10-30 02:11:00,2.18,651,Não,Linha 100,2023-10
CH00116,2023-10-21 00:00:00,Computador Bordo CB-100,Conectividade,Baixa,Mário Inácio,Concluída,2023-10-21 23:42:00,23.7,190,Não,Linha 200,2023-10
CH00117,2023-11-13 00:00:00,Computador Bordo CB-100,Desgaste Mecânico,Média,João Silva,Concluída,2023-11-13 19:02:00,19.03,258,Sim,Linha 300,2023-11
CH00118,2024-03-01 00:00:00,Display Digital DD-50,Erro de Comunicação,Baixa,Pedro Oliveira,Concluída,2024-03-01 19:59:00,19.98,151,Não,Linha 500,2024-03
CH00119,2024-05-08 00:00:00,Catraca CT-500,Defeito de Software,Alta,Maria Santos,Concluída,2024-05-08 04:31:00,4.52,636,Sim,Linha 400,2024-05
CH00120,2024-01-10 00:00:00,Validador VA-2000,Erro de Comunicação,Média,Ana Costa,Pendente,,,273,Sim,Linha 100,2024-01
CH00121,2023-09-26 00:00:00,Catraca CT-500,Defeito de Software,Baixa,Ana Costa,Concluída,2023-09-27 23:54:00,47.9,197,Não,Linha 100,2023-09
CH00122,2023-12-02 00:00:00,Display Digital DD-50,Erro de Comunicação,Crítica,João Silva,Pendente,,,1206,Sim,Linha 400,2023-12
CH00123,2023-02-16 00:00:00,Display Digital DD-50,Desgaste Mecânico,Crítica,João Silva,Concluída,2023-02-16 00:39:00,0.65,1227,Sim,Linha 100,2023-02
CH00124,2024-01-15 00:00:00,Validador VA-2000,Erro de Comunicação,Média,Ana Costa,Concluída,2024-01-15 22:26:00,22.43,357,Sim,Linha 200,2024-01
CH00125,2024-02-22 00:00:00,Catraca CT-700,Sensor Danificado,Baixa,Ana Costa,Pendente,,,171,Sim,Linha 300,2024-02
CH00126,2023-04-12 00:00:00,Validador VA-3000,Falha Elétrica,Crítica,Maria Santos,Concluída,2023-04-12 02:04:00,2.07,1289,Não,Linha 100,2023-04
CH00127,2023-04-04 00:00:00,Catraca CT-700,Desgaste Mecânico,Média,João Silva,Concluída,2023-04-04 11:14:00,11.23,255,Sim,Linha 300,2023-04
CH00128,2023-08-01 00:00:00,Validador VA-3000,Erro de Comunicação,Média,João Silva,Pendente,,,400,Não,Linha 200,2023-08
CH00129,2023-10-11 00:00:00,Catraca CT-500,Conectividade,Média,Mário Inácio,Concluída,2023-10-11 08:56:00,8.93,283,Sim,Linha 300,2023-10
CH00130,2023-01-16 00:00:00,Antena GPS AG-20,Erro de Comunicação,Baixa,João Silva,Concluída,2023-01-17 08:27:00,32.45,160,Sim,Linha 300,2023-01
CH00131,2024-03-07 00:00:00,Validador VA-2000,Erro de Comunicação,Alta,João Silva,Concluída,2024-03-07 06:29:00,6.48,579,Sim,Linha 400,2024-03
CH00132,2023-04-22 00:00:00,Catraca CT-700,Conectividade,Alta,Mário Inácio,Pendente,,,665,Sim,Linha 200,2023-04
CH00133,2023-03-04 00:00:00,Computador Bordo CB-100,Falha de Leitura,Alta,Ana Costa,Concluída,2023-03-04 06:05:00,6.08,652,Sim,Linha 100,2023-03
CH00134,2023-11-26 00:00:00,Catraca CT-700,Sensor Danificado,Crítica,João Silva,Concluída,2023-11-26 01:07:00,1.12,1166,Não,Linha 300,2023-11
CH00135,2024-06-27 00:00:00,Computador Bordo CB-100,Sensor Danificado,Alta,Ana Costa,Pendente,,,625,Sim,Linha 500,2024-06
CH00136,2023-08-09 00:00:00,Computador Bordo CB-100,Falha Elétrica,Baixa,João Silva,Pendente,,,210,Sim,Linha 200,2023-08
CH00137,2023-04-08 00:00:00,Catraca CT-700,Desgaste Mecânico,Crítica,Ana Costa,Concluída,2023-04-08 01:50:00,1.83,1259,Não,Linha 300,2023-04
CH00138,2023-03-29 00:00:00,Catraca CT-500,Erro de Comunicação,Crítica,João Silva,Concluída,2023-03-29 00:53:00,0.88,1260,Sim,Linha 300,2023-03
CH00139,2023-12-04 00:00:00,Antena GPS AG-20,Erro de Comunicação,Baixa,Mário Inácio,Pendente,,,131,Sim,Linha 300,2023-12
CH00140,2023-11-16 00:00:00,Antena GPS AG-20,Sensor Danificado,Crítica,João Silva,Concluída,2023-11-16 02:00:00,2.0,1176,Sim,Linha 500,2023-11
CH00141,2023-12-25 00:00:00,Validador VA-3000,Erro de Comunicação,Crítica,Maria Santos,Concluída,2023-12-25 02:52:00,2.87,1244,Sim,Linha 300,2023-12
CH00142,2023-01-27 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Crítica,Mário Inácio,Pendente,,,1218,Sim,Linha 200,2023-01
CH00143,2023-01-07 00:00:00,Catraca CT-500,Sensor Danificado,Alta,Pedro Oliveira,Concluída,2023-01-07 03:32:00,3.53,586,Sim,Linha 400,2023-01
CH00144,2023-08-09 00:00:00,Validador VA-2000,Erro de Comunicação,Baixa,João Silva,Pendente,,,196,Sim,Linha 400,2023-08
CH00145,2023-03-28 00:00:00,Catraca CT-500,Erro de Comunicação,Alta,Pedro Oliveira,Concluída,2023-03-28 02:26:00,2.43,589,Não,Linha 500,2023-03
CH00146,2024-03-10 00:00:00,Validador VA-2000,Sensor Danificado,Baixa,Pedro Oliveira,Concluída,2024-03-11 17:09:00,41.15,213,Sim,Linha 300,2024-03
CH00147,2023-04-24 00:00:00,Validador VA-3000,Conectividade,Baixa,Pedro Oliveira,Concluída,2023-04-25 03:20:00,27.33,224,Sim,Linha 300,2023-04
CH00148,2023-01-08 00:00:00,Validador VA-2000,Erro de Comunicação,Crítica,Mário Inácio,Concluída,2023-01-08 01:22:00,1.37,1227,Não,Linha 200,2023-01
CH00149,2023-01-08 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Alta,Pedro Oliveira,Concluída,2023-01-08 06:14:00,6.23,660,Não,Linha 200,2023-01
CH00150,2023-12-29 00:00:00,Catraca CT-700,Defeito de Software,Média,Mário Inácio,Pendente,,,268,Sim,Linha 100,2023-12
CH00151,2024-03-15 00:00:00,Catraca CT-700,Falha de Leitura,Crítica,João Silva,Concluída,2024-03-15 02:56:00,2.93,1253,Sim,Linha 300,2024-03
CH00152,2024-04-16 00:00:00,Validador VA-2000,Falha Elétrica,Baixa,Pedro Oliveira,Concluída,2024-04-17 08:42:00,32.7,122,Sim,Linha 100,2024-04
CH00153,2024-02-10 00:00:00,Validador VA-3000,Falha Elétrica,Crítica,Mário Inácio,Concluída,2024-02-10 01:49:00,1.82,1236,Não,Linha 300,2024-02
CH00154,2024-06-27 00:00:00,Antena GPS AG-20,Erro de Comunicação,Baixa,Mário Inácio,Concluída,2024-06-28 18:48:00,42.8,149,Não,Linha 300,2024-06
CH00155,2023-05-30 00:00:00,Display Digital DD-50,Conectividade,Média,Maria Santos,Concluída,2023-05-30 12:44:00,12.73,300,Não,Linha 500,2023-05
CH00156,2024-04-20 00:00:00,Validador VA-3000,Conectividade,Baixa,Maria Santos,Concluída,2024-04-21 22:29:00,46.48,248,Sim,Linha 500,2024-04
CH00157,2024-03-26 00:00:00,Display Digital DD-50,Sensor Danificado,Alta,Pedro Oliveira,Concluída,2024-03-26 02:34:00,2.57,670,Sim,Linha 300,2024-03
CH00158,2023-03-17 00:00:00,Antena GPS AG-20,Desgaste Mecânico,Baixa,Pedro Oliveira,Pendente,,,179,Sim,Linha 400,2023-03
CH00159,2023-04-03 00:00:00,Validador VA-2000,Falha de Leitura,Alta,Pedro Oliveira,Concluída,2023-04-03 07:14:00,7.23,679,Sim,Linha 400,2023-04
CH00160,2023-07-12 00:00:00,Computador Bordo CB-100,Defeito de Software,Baixa,Ana Costa,Pendente,,,182,Sim,Linha 400,2023-07
CH00161,2023-12-18 00:00:00,Computador Bordo CB-100,Erro de Comunicação,Baixa,Ana Costa,Concluída,2023-12-18 13:45:00,13.75,229,Não,Linha 100,2023-12
CH00162,2024-06-19 00:00:00,Validador VA-3000,Sensor Danificado,Crítica,Ana Costa,Pendente,,,1190,Não,Linha 300,2024-06
CH00163,2023-02-23 00:00:00,Catraca CT-500,Falha Elétrica,Crítica,Pedro Oliveira,Pendente,,,1235,Sim,Linha 300,2023-02
